Name,Date,Review,Helpful_to,Title,Rating
Praggya, 6 October 2019,After reading a lot of geeky reviews on YouTube and portals I bought Oneplus7t. Pls note I have been using OnePlus from last many years now so my expectations were clear. My experience with the device says that most of the reviews or unboxing things are influenced. Pls note I have bought it with my own money unlike leading reviewers or unboxing video geeks who get it for free. So pls don't go by them blindly. Go for users reviews who bought them with their own money. So I am writing my 5 days experience with the phone.I am not a gamer or a geek. A regular user who wants to do all the office work on the phone social media blogging and vlogging etc.The last OnePlus phone I was using was Oneplus 5 and was quite happy with it until it screen got broken and replacement cost was higher than the selling price of the device itself.The day it arrived from Amazon I opened it with a lot of excitement which continued till I have held it in my hands.Here are the issues:1. Weight: It weighed too much I felt like holding a brick. And it is thick. When I hold it in one hand for a few minutes I get a deep red pit in my hand (due to blood circulation).2. Camera: Then I had to go for a conference there I tried clicking pictures. Picture quality did not come out well. Still I thought it may be light or background because of my previous experiences I could not believe it to be not good. So I continued clicking pictures which really missed detailing. As you zoom in it will make it blurred. I have clicked a magazine cover picture with my Oneplus 5 which had only 16 MP camera but pic quality was natural and good. It clicks blur pics may it has to do with image Stabilization.3. Battery:  Battery is avg. All those time I teased my iPhone or Samsung Series colleagues and friends for their battery life. Welcome to the league. This offers an avg battery life. I never carried a charger with me in previous models if I Start with 90% even after two years. But here I have to carry it even for the average usage. I m wondering what would be this phone battery life in a year or more.4. 90 Hz refresh rate is a gimmick to sell this device. It will give you fluid experience but the soon it consumes battery you will always prefer to keep it to 60hz which is an option given in the display settings. If you always stick to a desk or have a power source around you can keep it to 90hz. Not for people who are on the move most of the time. Don't fall for it.5. Sound: It's average. Phone calls are not crisp and clear. At times the caller's voice gets hazy and husky. Voice is even audible to person the person sitting next to me. Even on lower volumes. Speakers volume is loud but the sound quality is not good.6. No premium-feeling anymore. With multiple variants it has joined the league of Samsung Mi Oppo Vivo. Now they are launching 7t pro on Oct 10 again it is a disappointment for those who bought 7t on day 1. Maybe their R&D or trials have some problem here that in every two months they are launching a new device with an update to the previous faults. Like OnePlus 7 has voice receiver on one side which is right. So if you take calls or hear the phone from left you won't get a clear voice or volume. So they added receivers on both the side in this device.I am still not getting why I have spent Rs 40000 on it. No camera quality no battery life no sound quality on calls getting wounds on holding it for long.I have always recommended OnePlus devices to everyone around and had high hopes and trust on the brand that I bought it on the day of the launch but with this experience I won't recommend OnePlus 7t to my colleagues and friends who are planning to upgrade their devices.,"4,993",Think and evaluate before you go for it,3.0
Amazon Customer, 5 October 2019,Detailed review --Design - 4/5+Reduced notch+Premium glass back-Camera bumpPerformance - 5/5+Latest and greatest hardware+Smart optimisationsOS - 4.5/5+Smooth Android experience - Oxygen OSDisplay - 4.5/5+Butter smooth 90 Hz Amoled display - treat to the eyeBattery -3.5/5+Fastest charging ever seen-Less capacityCamera -4/5+Overall good output with all 3 cameras+ Amazing macro mode- Misses details and messes up with Colors sometimesAudio - 4/5+Clear and loud - quality output,"1,021",Treat to the eye,4.0
Kshitij Kumar, 3 October 2019,Awesome experience..best in class camera... oxygen os..love,837,Best experience,5.0
manikanta, 2 October 2019,I received One Plus 7T 2 days back. I will describe you my experience in these 2 days.Firstly kudos to Amazon for such a quick delivery and excellent packaging.Coming to the mobile the first impression is just amazing. Its smooth fast and you can't come out of it.The amoeld display is stunning and camera is amazing. Battery backup is also too good. And it took me 40 min to charge from 2% to 100%.PROS:CAMERA - 4.8/5BATTERY- 5/5Display - 4.7/5Performance - 4.8/5Speed - 5/5Gaming experience- 4.8/5CONSNO Headset jack.One Plus didn't even provide 3.5mm Type C Converter either which dissapointed me.Camera design could have been made better (But I feel better compared to Apple 11 pro)Overall: 4.7/5  One Plus proves again why its the BEST MOBILE right now. Go for it.,735,One Plus 7T - One Word STUNNING!!,5.0
Yugal View Extra, 9 October 2019,8 Gb Ram128 Gb storage.This is super amazing phone.It is super fast Like bullet Train.Obviously it will never hang.Camera quality is better than OnePlus 7  Because it has triple camera 😍 .Design of phone is also amazing.Turbo charging with 3800 mAH battery is too good.,472,Super fast phone with super amazing camera,5.0
Vicky Sen, 3 October 2019,My first one+7t & its make me so sad. I received the ph with manufacturing defect in display. Gum came out from the edges of display. How can a consumer aspects from a reputed brand after he paying 40000/- 🤔😭😟🥺😓,467,Please improve your build quality other wise india will fire you 😠,1.0
Rajesh Adhikary, 2 October 2019,This phone has great performance good camera and ambiance. Charging is fast as per the Oneplus standards set in earlier phones. What is concerning me is the heating issue which crops up off and on. The Battery drains quickly so we have to keep it at 60Hz to longer life. Is there anyone else feeling the heating issues?,747,Pro Camera performance looks. Cons Battery drain and heating up issues,4.0
Piyush Vaibhav, 5 October 2019,I am among the first to buy this phone with prime membership. Posting this review after a week of using the phone. I can't compare it with other flagships as this is my first one in this range. I loved the 90Hz display and the fingerprint reader is also quite good. There is no lagging issue till now. The battery backup is good but not excellent with such a higher frame rate but man the charging speed is much more than wonderful. I was totally amazed at first. Camera quality is good but the colour sensing needs some improvements. It's a bit warm and not natural as you can see in the photos providedone without adjustment and the other one with warmth reduced a bit. Speakers are loud and produce decent sound. Haven't checked the selfie camera and the video recording till now.,253,I think an all rounder!,5.0
KESH, 10 October 2019,THIS IS ONE OF THE WORST PHONE I HAVE EVER PURCHASED. PLEASE DONT BUY THIS PHONE AND PUT YOUR HARD EARNED MONEY ON STAKE. THERE ARE SO MANY CONS IN THIS PHONE. EARLIER I HAVE USED ONE PLUS 5T PHONE SO I KNEW WHAT TO EXPECT FROM THIS PHONE BUT THIS TIME I AM SO MUCH DISAPPOINTED.HERE ARE MY CONCERNS1. SCREEN RESOLUTION AND QUALITY OF THE SCREEN IS SO POOR. THERE IS GRAINS AND COLOR BANDING ISSUE IN SCREEN. IMAGES LOOKS GRAINY AND UNSHARP IN COMPARISION TO ONE PLUS 5T OR 6T. PHONE RATIO IS 20:9 SO INSTAGRAM IMAGES WILL BE IN SHOWN IN PORTRAIT MODE INSTEAD OF LANDSCAPE MODE. IMAGES ON THE SCREEN IS SO BLURRRY2. DESIGN OF THE PHONE IS MESS. SO MUCH CAMERA BULK. EVEN THE PROVIDED CASE CANNOT PROTECT IT FROM SCRATCHES. PHONE IS VERY FAT AND HAEVY. LENGTH IS ALSO TOO MUCH BECAUSE OF THE RATIO. ALSO THERE IS NO PREMIUM FEELING AFTER HOLDING THIS PHONE AS WAS WITH THE ONE PLUS 5T.3. 3.5MM JACK IS BIG OMMISSION SINCE ONE PLUS 6 PHONE. THERE IS NO BENEFIT OF REMOVING IT. THERE IS NO BIGGER BATTERY. ALSO YOU HAVE TO BUY A SEPERATE ADAPTER OR NEW BLUTOOTH EARPHONES AND BLUTOOTH EARPHONES QUALITY CAN NEVER BE AS GOOD AS WIRED EARPHONES.4. CAMERA QUALITY IS AVERAGE. NO INCREASE IN PICTURE QUALITY. 3 CAMERAS ARE ONLY FOR NAME SAKE.I WAS VERY HAPPY ONE PLUS CUSTOMER BUT NOW I WON'T RECOMMEND THIS PHONE TO ANYONE. PLEASE DONT WASTE YOUR MONEY.,238,PLEASE SAVE YOUR MONEY AND DON'T BUY THIS PHONE.,1.0
Dheeraj Malhotra, 2 October 2019,No earphone jack,188,No earphone jack,4.0
Avengers, 2 October 2019,A One plus user.Oneplus One -> Oneplus 3T -> Oneplus 7T.I don't like other android phones due it's UI love stock android.Camara is awesomeFacing problem with notifications don't know what at top.I was expecting great battery but its average.As i moved from 3T to 7T I had to buy wireless headphones and was worried about this. But Bluetooth connection is also good/stable.,165,Good phone,5.0
Nitish Kumar, 3 October 2019,The smart Lock feature is not working on the phone. It doesn't require PIN/ fingerprint sensor sometimes. It gets unlocked by side power button which creates a big security issue. The battery back up is just pathetic. Not so great camera make is totally underserving for the kind of price OnePlus is selling this device. If option available I would have asked for refund.,138,Not recommended at all,1.0
balamurugan.k, 7 October 2019,After 1st update battery capacity is good,129,Superb mobile,5.0
Saiteja, 5 October 2019,Camera quality l gestures condition of package all very good.,88,Very good,5.0
SHASWAT S., 22 October 2019, I am uploading a video and image watch it before but itDon't waste your money on this phone @this price range.Many customers faces same as I am facing the issue of screen flickering while watching videos specially YouTube.. if u do not noticed now notice it on the upper side where the notch is setup. Play YouTube u can see when u do for full screen and again normal.I am purchased it but thanks to Amazon they replaced it but again same issue 'screen flickering' and again thanks to Amazon they approve my return and now I get my refund..But seriously this device is not too good at this price. So pls don't waste your money.And OnePlus with u never expect like this.,84,Screen flickering on upper side. Irritating.,1.0
Yash, 2 October 2019,This beast puts One Plus back in the game!7T should have been the only product launched by OnePlus instead of 7 & 7pro!What a phone it is!Processing speed 5/5Camera 4.2/5Look n Feel 4.8/5Performance 5/5Lags 0/5Charging 5/5Highlights:90GHz screen refresh rate is something that's puts OnePlus 7T in the league of the iPhones and the S10.Cons:Nightmode could have been better!Not upto the mark of Pixel and even iPhone 11Battery could have been 4000mah but still 30T warp is a mind-blowing deal.Memory slot could have been arranged.Wow factor:30T 😘Telephoto lens 😘Configs 8GB-128 combo is sufficientNow coming to comparison with iPhone XR and iPhone 11 personally I would prefer OnePlus because of flexibility Android ecosystem provides to the users.Verdict:A perfect benchmark from most of the parameters.Performance wise is a SHOWSTOPPER!!Should you upgrade from 7 to 7T -NO save your money.From iPhone 8 or Below to 7T -Yes,84,Winner of 2019!!!!,5.0
Dip Barman, 4 October 2019,It has many features to tell but will tell only two problems of it..1. Battery Draining like hell.2. Heating issues.Don't know why but these two severe problems I'm facing..I play games..Never ever expected such experience with this Premium Phone..,85,Battery Sux and Draining like Hell🤬🤬,3.0
Rachit Singhal, 2 October 2019,Amazing phone.. and charging is awesome.. 0 to 100 in just 51 min,75,Awesome,5.0
